TAXA,SPECIES,Age,BP,HL,dpL,bcL,deHW,dHW,UL,peUW,deUW,dUW,RL,dRW,CmL,CmW,DCmW,FL,dFWml,dFWcc,TL,TmL
Enantiornithes,Pengornis houi,Middle Aptian ,113,1.8139,1.3536,0.9749,1.0828,0.7557,1.8489,0.8420,0.8644,0.6819,1.8266,,1.4955,0.5202,0.8609,1.6781,0.6240,,1.6954,1.4200
Enantiornithes,Cathayornis yandica,Middle Aptian ,113,1.4487,0.9738,0.5740,0.7392,0.3434,1.4667,0.4900,0.4249,0.3454,,0.1833,1.1060,0.1959,0.3838,1.3797,0.3997,,1.4719,
Enantiornithes,Cuspirostrisornis houi,Middle Aptian ,113,1.4624,1.0055,0.5602,0.7277,0.4200,1.4935,0.5769,0.5347,0.3269,1.4666,0.1430,1.1375,0.1861,0.2765,1.4313,0.4078,,1.5115,1.2734
Enantiornithes,Eocathayornis walkeri,Middle Aptian ,113,1.3920,0.9801,0.3473,0.7273,0.4224,1.4133,0.4212,0.5021,0.2565,1.3903,0.1569,1.0840,0.0043,0.4014,,,,,
Enantiornithes,Eoenantiornis buhleri,Lower Aptian,125,1.4707,1.0724,0.5152,0.6274,0.4200,1.4928,0.4529,0.3874,0.4074,1.4692,0.1148,1.0740,0.1303,,1.4335,0.4914,,1.5066,1.2778
Enantiornithes,Longchengornis sanyanensis,Middle Aptian ,113,1.4865,,0.6981,0.6785,0.4314,1.4919,0.5729,0.3522,0.3202,1.4819,0.1399,1.1602,0.1673,0.4265,1.4180,0.4370,,1.5233,1.2425
Enantiornithes,Otogornis genghisi,Middle Aptian ,113,1.5624,1.1282,0.8322,0.8437,0.5676,1.6310,0.6915,0.5400,0.3940,1.5752,0.2075,1.2541,-0.0155,0.4166,,,,,
Enantiornithes,Longirostravis hani,Lower Aptian,125,1.3732,0.8407,0.4590,0.5694,0.3660,1.4054,,0.4150,0.1797,1.3828,-0.0269,0.9966,0.0828,0.3838,1.2995,0.2355,,1.4016,1.1455
Enantiornithes,Longipteryx chaoyangensis,Middle Aptian ,113,1.6371,1.2363,0.6985,0.8890,0.6385,1.6424,0.6454,,0.5347,1.6416,0.3532,1.3180,0.0846,0.4857,1.4436,,0.5045,1.4982,1.3063
Enantiornithes,Rapaxavis pani,Middle Aptian ,113,1.3558,0.8723,0.4302,0.6335,0.3395,1.3746,0.3570,0.4187,0.3128,1.3595,0.1089,0.9451,0.0354,0.3483,1.2782,,0.1651,1.3614,1.1105
Enantiornithes,Protopteryx fengningensis,End Hauterivian-Lower Aptian,125,1.4487,1.0187,0.5533,0.5659,0.3811,1.4320,0.4048,0.4048,0.3059,1.4132,0.0691,1.1609,-0.0055,0.3784,1.3574,,0.4074,1.4769,1.1912
Enantiornithes,Vescornis hebeiensis,Lower Aptian,125,1.3679,0.9408,0.4829,0.6613,0.3269,1.3823,0.3107,0.3711,0.2753,1.3614,-0.0257,1.0692,0.0673,0.0682,1.3544,,0.2950,1.4662,1.2017
Enantiornithes,Concornis lacustris,Upper Barremian,125,1.5129,1.0328,0.5557,,0.2788,1.5132,0.6133,,0.3971,,0.1072,1.1576,0.1072,0.4564,1.3827,,0.3385,1.5524,1.3495
Enantiornithes,Eoalulavis hoyasi,Upper Barremian,127,1.4024,1.0127,0.4579,0.6230,0.2928,1.4773,0.3375,0.3608,0.2889,1.4436,-0.0482,0.9227,0.0022,0.3444,,,0.3170,,
Ornithuromorpha,Archaeorhynchus spathula,Lower Aptian,127,1.7297,1.3777,0.7462,0.9213,0.6467,1.7550,0.6227,0.6996,0.5656,1.7434,0.4417,1.4255,0.3789,,1.5667,0.5888,0.6449,1.6228,1.2919
Ornithuromorpha,Yixianornis grabaui,Middle Aptian ,113,1.6925,1.3112,,0.9178,0.6271,1.7020,0.7300,0.6994,0.4843,1.6659,0.3883,1.4141,0.3701,0.6304,1.6115,,0.6307,1.7289,1.4308
Ornithuromorpha,Yanornis martini,Middle Aptian ,113,1.9002,1.5353,0.9657,1.0964,0.7372,1.9071,0.9798,0.8532,0.6420,1.8840,0.5456,1.5430,0.6075,0.8407,1.7407,,0.7698,1.9045,1.5790
Ornithuromorpha,Y. martini,Middle Aptian ,113,1.8973,1.6080,1.0088,1.1209,0.8149,1.9015,0.8328,0.8998,0.6031,1.8897,0.5119,1.6074,0.5289,0.7973,1.7625,,0.6942,1.8813,1.5887
Ornithuromorpha,Jianchangornis microdonta,Middle Aptian ,113,1.8763,1.5299,0.8578,1.0933,0.8319,1.9221,0.9261,,0.5938,1.8958,0.5343,1.5829,0.6133,0.9042,1.7788,,0.8029,1.8800,1.5678
Ornithuromorpha,Hongshanornis longicresta,Lower Aptian,125,1.4275,1.0641,0.5347,0.6679,0.4104,1.4087,0.4620,0.4166,0.2793,1.3735,0.1840,1.1326,0.1351,0.3874,1.3433,,0.3738,1.5880,1.3243
Ornithuromorpha,Longicrusavis houi,Lower Aptian,125,1.4321,1.1017,0.5557,0.7039,0.3992,1.4070,0.4735,0.4370,0.2148,1.3891,0.2292,1.1404,0.1833,0.4378,1.3872,,0.3829,1.5857,1.3451
Ornithuromorpha,Gansus yumenensis, Early Cretaceous,140,1.6907,1.2983,0.7889,0.8599,0.5617,1.7028,0.5740,0.6010,0.4385,,0.2978,1.3993,0.2381,0.4728,1.4794,,0.4472,,
Ornithuromorpha,G. yumenensis, Early Cretaceous,140,1.6761,1.2406,0.7862,0.8235,0.4680,1.6936,0.6245,0.6196,0.4326,1.6725,0.1710,1.3683,0.1508,0.4314,,,,,
Ornithuromorpha,Apsaravis ukhaana,Late Campanian - Early Maastrichian,72,1.6851,,0.7634,,0.6201,1.6598,,,0.3560,1.6346,0.1790,,,0.6730,,,,,1.4579
