Common Name,Taxonomic ID,Order,Family,Tribe,Genus,species,Taxon used,Sample ID,material,material,d13C - bioapatite,d13C-keratin,d13C-collagen,d13C enamel - equivalent,d13C1750,Collection year,location,ecosystem - classified,COUNTRY,Latitude,Longitude,reference
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-LAI-215,enamel,e,-7.2,,,-7.2,-5.5,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-213-LAI,enamel,e,-6.8,,,-6.8,-5.1,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-209-LAI,enamel,e,-6.4,,,-6.4,-4.7,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-LAI-DJA-2,enamel,e,-6.3,,,-6.3,-4.6,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-207-LAI,enamel,e,-6.3,,,-6.3,-4.6,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-LAI-211,enamel,e,-6.2,,,-6.2,-4.5,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-LAI-DJA-3,enamel,e,-6,,,-6,-4.3,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-208-LAI,enamel,e,-6,,,-6,-4.3,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-LAI-219,enamel,e,-6,,,-6,-4.3,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-LAI-206,enamel,e,-5.7,,,-5.7,-4.1,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-205-LAI,enamel,e,-5.7,,,-5.7,-4,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K99-120-Lai,enamel,e,-5.6,,,-5.6,-4,1999,Soit Ngiro,LAIK,Kenya,0.4,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-212-LAI,enamel,e,-5.7,,,-5.7,-4,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-LAI-DJA-4,enamel,e,-5.1,,,-5.1,-3.4,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K98-Lai-320,enamel,e,-5,,,-5,-3.4,1998,El Karama,LAIK,Kenya,0.2,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-LAI-218,enamel,e,-5.1,,,-5.1,-3.4,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-LAI-DJA-1,enamel,e,-5.1,,,-5.1,-3.4,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-216-LAI,enamel,e,-4.3,,,-4.3,-2.6,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-LAI-DJA-12,enamel,e,-4.2,,,-4.2,-2.5,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-LAI-214,enamel,e,-4.1,,,-4.1,-2.4,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K99-117-Lai,enamel,e,-1.9,,,-1.9,-0.2,1999,Mogwooni,LAIK,Kenya,0.2,37,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K98-Lai-314,enamel,e,-1.2,,,-1.2,0.4,1998,El Karama,LAIK,Kenya,0.2,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,TZ238,enamel,e,-2.6,,,-2.6,-0.8,2005,Serengeti,MARA,Tanzania,-2.2,34.7,34
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,TZ245,enamel,e,-2.3,,,-2.3,-0.5,2005,Serengeti,MARA,Tanzania,-2.2,34.7,34
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus ,Aepycerotini,AMNH 82048,keratin,k,,-13.8,,-2.8,-2.3,1926,Serengeti,MARA,Tanzania,-2.2,34.7,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus ,Aepycerotini,AMNH 82047,keratin,k,,-11.8,,-0.8,-0.3,1926,Guerrmametti,MARA,Tanzania,-2,34.2,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus ,Aepycerotini,AMNH 85150,keratin,k,,-10.3,,0.7,1.3,1932,Serengeti,MARA,Tanzania,-2.2,34.7,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,SBU-13E-31,enamel,e,-1.8,,,-1.8,0.2,2011,Lake Mburo,MBRO,Uganda,-0.6,31,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K00-Nku-247-M1,enamel,e,-6.5,,,-6.5,-4.9,2000,Nakuru NP shoreline,NAKG,Kenya,-0.4,36.1,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K00-NKU-236-M,enamel,e,-3.1,,,-3.1,-1.4,2000,Nakuru NP shoreline,NAKG,Kenya,-0.4,36.1,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K00-Nku-285,enamel,e,-2.8,,,-2.8,-1.1,2000,Nakuru NP shoreline,NAKG,Kenya,-0.4,36.1,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,95-OLOR-222,enamel,e,-10.8,,,-10.8,-9.2,1995,Olorgesailie,other,Kenya,-1.6,36.4,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,95-OLOR-157,enamel,e,-10.1,,,-10.1,-8.5,1995,Olorgesailie,other,Kenya,-1.6,36.4,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Seeg-143,keratin,k,,-18.4,,-7.5,-5.7,2006,Longido,other,Tanzania,-2.7,36.7,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,KWS-2012-imp-4-ELG,keratin,k,,-14.7,,-3.8,-1.8,2011,Mt Elgon,other,Kenya,1.1,34.7,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K97-404Impala-Sam,enamel,e,-7.4,,,-7.4,-5.8,1997,Samburu,SAMB,Kenya,0.6,37.5,36
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-145-SAM,enamel,e,-8.6,,,-8.6,-6.9,2001,Samburu,SAMB,Kenya,0.6,37.5,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-146-sam,enamel,e,-5.9,,,-5.9,-4.2,2001,Samburu,SAMB,Kenya,0.6,37.5,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K98-Tsv-163,enamel,e,-12.8,,,-12.8,-11.2,1998,Tsavo East Res Ctr,TSVO,Kenya,-3.4,38.6,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K98-Tsv-159,enamel,e,-12.5,,,-12.5,-10.9,1998,Tsavo East Res Ctr,TSVO,Kenya,-3.4,38.6,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K99-141-Tsv,enamel,e,-7,,,-7,-5.4,1999,Satao,TSVO,Kenya,-3.4,39,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,KWS-2010-imp-1-tsv,keratin,k,,-15.9,,-5,-3,2010,Tsavo East,TSVO,Kenya,-2.2,38.4,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,KWS-Anj-2010-imp-57-tsv,keratin,k,,-15.9,,-5,-3,2010,Tsavo East,TSVO,Kenya,-2.2,38.4,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,LL99-116,enamel,e,0.5,,,0.5,2.1,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,LL99-98,enamel,e,0.6,,,0.6,2.2,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,LL99-54,enamel,e,0.8,,,0.8,2.5,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,LL99-60,enamel,e,1.3,,,1.3,3,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,LL99-53,enamel,e,1.7,,,1.7,3.3,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,LL99-36,enamel,e,1.9,,,1.9,3.5,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,LL99-113,enamel,e,2,,,2,3.6,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,LL99-112,enamel,e,2.1,,,2.1,3.8,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,LL99-52,enamel,e,2.5,,,2.5,4.1,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,LL99-58,enamel,e,2.5,,,2.5,4.2,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,LL99-47,enamel,e,2.7,,,2.7,4.3,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,LL99-110,enamel,e,2.9,,,2.9,4.5,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,LL99-46,enamel,e,2.9,,,2.9,4.6,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,LL99-126,enamel,e,3.1,,,3.1,4.7,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,LL99-115,enamel,e,3.2,,,3.2,4.8,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,LL99-125,enamel,e,3.3,,,3.3,4.9,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
"hartebeest, Swayne's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,ET05-AWSH-35,enamel,e,1.7,,,1.7,3.1,1990,Awash NP,AWSH,Ethiopia,8.9,40,56
"hartebeest, Swayne's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,ET05-AWSH-34,enamel,e,1.9,,,1.9,3.2,1990,Awash NP,AWSH,Ethiopia,8.9,40,56
"hartebeest, Swayne's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,ET05-NCHSR-27,enamel,e,2.7,,,2.7,4.1,1990,Nechisar NP,ETHR,Ethiopia,5.9,37.7,56
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus ,buselaphus,Alcelaphini,SBU-13E-111,enamel,e,-1,,,-1,1,2011,Kidepo,KDPO,Uganda,3.9,33.9,this study
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus ,buselaphus,Alcelaphini,SBU-13E-97,enamel,e,-0.7,,,-0.7,1.3,2011,Kidepo,KDPO,Uganda,3.9,33.9,this study
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus ,buselaphus,Alcelaphini,SBU-13E-98,enamel,e,0.7,,,0.7,2.7,2011,Kidepo,KDPO,Uganda,3.9,33.9,this study
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,SBU-13E-131,enamel,e,0.9,,,0.9,2.9,2011,Kidepo,KDPO,Uganda,3.9,33.9,this study
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus ,buselaphus,Alcelaphini,SBU-13E-99,enamel,e,0.9,,,0.9,2.9,2011,Kidepo,KDPO,Uganda,3.9,33.9,this study
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,K01-LAI-DJA-47,enamel,e,-0.4,,,-0.4,1.3,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,K01-LAI-DJA-36,enamel,e,0.5,,,0.5,2.2,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,K97-232-Lai,enamel,e,1.7,,,1.7,3.3,1997,Mpala,LAIK,Kenya,0.3,36.9,this study
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,K98-TPY-500,enamel,e,1.7,,,1.7,3.3,1998,Segera,LAIK,Kenya,-0.1,36.7,this study
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,K01-LAI-DJA-48,enamel,e,1.7,,,1.7,3.4,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,K98-Lai-317-M3,enamel,e,2.1,,,2.1,3.7,1998,El Karama,LAIK,Kenya,0.2,36.9,this study
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,K01-LAI-DJA-44,enamel,e,2.1,,,2.1,3.7,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,K01-LAI-DJA-45,enamel,e,2.3,,,2.3,3.9,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,K01-LAI-DJA-46,enamel,e,2.7,,,2.7,4.4,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,K98-Lai-354,keratin,k,,-8.2,,2.8,4.4,1998,Mpala,LAIK,Kenya,0.3,36.9,this study
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,K01-LAI-DJA-43,enamel,e,2.8,,,2.8,4.5,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
"hartebeest, Lelwel's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,ET05-MAGO-09,enamel,e,-1.5,,,-1.5,-0.1,1990,Mago NP,MAGO,Ethiopia,5.7,36.4,56
"hartebeest, Lelwel's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,ET05-MAGO-18,enamel,e,1,,,1,2.4,1990,Mago NP,MAGO,Ethiopia,5.7,36.4,56
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,TZ269,enamel,e,-1,,,-1,0.8,2005,Serengeti,MARA,Tanzania,-2.2,34.7,34
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,TZ270,enamel,e,2.2,,,2.2,4,2005,Serengeti,MARA,Tanzania,-2.2,34.7,34
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,NMK-OM 8849,keratin,k,,-7.3,,3.7,5.6,2005,Meru NP,MERU,Kenya,0.1,38.9,this study
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,OM 119,enamel,e,1.9,,,1.9,2.7,1970,Kitengela,NBNP,Kenya,-1.5,37,18
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,OM 4133,enamel,e,3,,,3,3.8,1972,Nairobi NP,NBNP,Kenya,-1.4,36.8,18
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,OM 117,enamel,e,3.1,,,3.1,3.9,1970,Kitengela,NBNP,Kenya,-1.5,37,18
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,OM 4135,enamel,e,3.2,,,3.2,4,1972,Nairobi NP,NBNP,Kenya,-1.4,36.8,18
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,K97-309-Nbi,enamel,e,2.6,,,2.6,4.1,1997,Nairobi NP,NBNP,Kenya,-1.4,36.8,18
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,K97-264A-Nbi,enamel,e,2.9,,,2.9,4.5,1997,Nairobi NP,NBNP,Kenya,-1.4,36.8,18
